NIT;Razon_Social;Resolucion;Fecha
890901672;FABRICA DE CALCETINES CRYSTAL S.A.;104;1/31/1986
890901866;BONEN S.A.;847;6/10/1986
890904138;AMTEX S.A.;632;5/07/1986
890904224;C.I. UNION DE BANANEROS DE URABA S.A. UNIBAN;107;1/31/1986
890904488;T.D.M. TRANSPORTES S.A.;294;3/07/1986
890906119;PLASTIQUIMICA S.A.;1646;10/27/1986
890907566;NOPCO COLOMBIANA S.A.;1023;7/07/1986
890907821;PRODUCTOS Y MATERIALES DE CONFECCION S.A.;904;6/19/1986
890301291;ELY LILLY INTERAMERICANA INC;139;2/10/1986
890301753;SI S.A.S.;797;6/03/1986
890301868;ROY ALPHA S.A.;675;5/15/1986
890301886;FABRICA NACIONAL DE AUTOPARTES FANALCA S.A.;680;5/15/1986
890301960;PRODUCTORA DE PAPELES S.A. PROPAL;439;4/02/1986
890302567;INGENIO RIOPAILA S.A.;53;1/16/1986
890302594;MAYAGUEZ S.A.;1464;9/10/1986
890300466;TECNOQUIMICAS S.A.;1976;12/10/1986
890300918;SAGER & COMPAÑÍA S.C.A;216;2/19/1986
890304403;MAC S.A.;1996;12/15/1986
890305083;LABORATORIOS NEO LTDA;302;3/07/1986
890305586;PRODUCTOS VARIOS PRODUVARIOS S.A.;1647;10/27/1986
890800148;COLOMBIT S.A.;1816;11/21/1986
890800718;SUCESORES DE JOSE JESUS RESTREPO Y CIA S.A. CASA LUKER S.A.;36;1/13/1986
890800999;BASCULAS PROMETALICOS S.A.;901;6/19/1986
899999068;ECOPETROL S.A.;56;1/16/1986
890400080;CABOT COLOMBIANA S.A.;1188;7/29/1986
890400514;AGRINAL COLOMBIA S.A.;486;4/08/1986
890913555;FERRETERIA FERROINDUSTRIAL S.A.;1568;10/08/1986
890915475;EMPAQUETADURAS Y EMPAQUES S.A.;1808;11/21/1986
890916269;ESPUMAS PLASTICAS S.A.;27;1/09/1986
890320240;ESPUMAS DEL VALLE LTDA;1126;7/17/1986
890312452;ALLERS S. A.;1016;7/07/1986
890501729;FONOS GASES INDUSTRIALES FONOS LTDA;678;5/15/1986
890900344;INVERBORDADOS S.A.S.;103;1/31/1986
890926803;ESTUDIO DE MODA LTDA.;622;5/07/1986
890900099;INDUSTRIAS ESTRA S.A.;581;4/25/1986
890900118;CRISTALERIA PELDAR S.A.;1526;9/29/1986
890900168;CERVECERIA UNION S.A.;376;3/18/1986
890900197;C.I. CONFECCIONES COLOMBIA S.A.;1022;7/07/1986
890900240;"ASOCIACION TECNICA COMERCIAL E INDUSTRIAL S.A. ""ASTECO""";842;6/10/1986
860034813;INTALPEL S.A.;964;6/25/1986
860034944;PRODUCTORA DE CABLES LIMITADA C I PROCABLES S.A;212;2/19/1986
860036478;CODIMEDICA LTDA;969;6/25/1986
860036649;ESPUMADOS S.A.;903;6/19/1986
860039444;C.I.QUIMICA COMERCIAL ANDINA S.A.;109;1/31/1986
860068802;PEDRO SANCHEZ RAMIREZ Y CIA LTDA;618;5/07/1986
860070605;PELPAK S.A.;298;7/03/1986
860071970;F M DISCOS Y CINTAS S.A.;1120;7/17/1986
860074229;"REPRESENTACIONES Y DISTRIBUCIONES CALI LTDA. ""REYCLO LTDA""";1129;7/17/1986
860074358;LABORATORIOS BUSSIE S.A.;638;5/07/1986
860076279;ARMANDO CASTRO P & CIA LTDA;962;6/25/1986
891300959;SUCROAL S.A.;54;1/16/1986
890922586;TEXCOMERCIAL S.A.;681;5/15/1986
890327282;AUTO PACIFICO LTDA;1994;12/15/1986
890900266;GRUPO ARGOS S.A.;487;4/08/1986
891800111;SIDERURGICA DE BOYACA SA DIACO S.A.;364;3/18/1986
891855089;G Y J RAMIREZ S.A.;1523;9/29/1986
890917780;ELECTROQUIMICA WEST SA;799;6/03/1986
