CIIU;ANIO;DECLARANTES;ING_BRUTOS_MM;COSTOS_MM;RENTA_LIQ_MM;MARGEN_COSTO;MARGEN_RENTA;NOMBRE
6202;2023;3157;17306113.8;11253495.8;1687090.1;0.6503;0.0975;Actividades de consultoría informática y actividades de administración de instalaciones informáticas
6202;2024;3316;16707143.7;12112741.3;1726497.4;0.725;0.1033;Actividades de consultoría informática y actividades de administración de instalaciones informáticas
6209;2022;1286;4238030.5;3812701.3;389773.0;0.8996;0.092;Otras actividades de tecnologías de información y actividades de servicios informáticos
6209;2023;1326;7188202.4;5666216.2;375409.5;0.7883;0.0522;Otras actividades de tecnologías de información y actividades de servicios informáticos
6209;2024;1358;7492044.3;6653240.7;415403.2;0.888;0.0554;Otras actividades de tecnologías de información y actividades de servicios informáticos
6311;2022;1099;2947780.9;2401453.0;485388.2;0.8147;0.1647;Procesamiento de datos, alojamiento (hosting) y actividades relacionadas
6311;2023;1182;3613230.1;2995954.9;464102.6;0.8292;0.1284;Procesamiento de datos, alojamiento (hosting) y actividades relacionadas
6311;2024;1293;4003746.3;3216314.2;574232.9;0.8033;0.1434;Procesamiento de datos, alojamiento (hosting) y actividades relacionadas
6312;2022;443;310514.9;333072.1;17612.8;1.0726;0.0567;Portales web
6312;2023;455;288446.7;299541.3;19716.1;1.0385;0.0684;Portales web
6312;2024;458;294093.3;299387.0;21121.9;1.018;0.0718;Portales web
6391;2022;92;51445.6;51441.4;5460.0;0.9999;0.1061;Actividades de agencias de noticias
6391;2023;102;58131.3;55051.5;5969.3;0.947;0.1027;Actividades de agencias de noticias
6391;2024;105;59620.3;60490.4;5861.8;1.0146;0.0983;Actividades de agencias de noticias
6399;2022;535;994612.9;748839.8;76824.5;0.7529;0.0772;Otras actividades de servicio de información n.c.p.
6399;2023;558;1065459.4;948030.6;80754.7;0.8898;0.0758;Otras actividades de servicios de información n.c.p.
6399;2024;559;1230058.3;1079250.3;100297.7;0.8774;0.0815;Otras actividades de servicios de información n.c.p.
6421;2022;88;3167606.9;2389597.6;534687.7;0.7544;0.1688;Actividades de las corporaciones financieras
6421;2023;98;4987968.5;3797382.5;585174.9;0.7613;0.1173;Actividades de las corporaciones financieras
6421;2024;107;4990127.3;3706581.4;505383.3;0.7428;0.1013;Actividades de las corporaciones financieras
6422;2022;97;3829128.3;3697745.6;316817.7;0.9657;0.0827;Actividades de las compañías de financiamiento
6422;2023;96;4763765.6;5304803.5;153800.1;1.1136;0.0323;Actividades de las compañías de financiamiento
6422;2024;111;5094025.5;6167970.0;88819.1;1.2108;0.0174;Actividades de las compañías de financiamiento
6423;2022;20;6076207.0;5235212.2;840176.1;0.8616;0.1383;Banca de segundo piso
6423;2023;22;8133613.5;7915316.3;316945.6;0.9732;0.039;Banca de segundo piso
6423;2024;22;6259151.5;5796748.5;440465.9;0.9261;0.0704;Banca de segundo piso
6424;2022;82;1147299.0;1038096.9;109772.7;0.9048;0.0957;Actividades de las cooperativas financieras
6424;2023;91;1437682.7;1404016.8;86439.9;0.9766;0.0601;Actividades de las cooperativas financieras
6424;2024;96;1456972.6;1360022.7;98209.8;0.9335;0.0674;Actividades de las cooperativas financieras
6431;2022;525;38901927.2;35251119.2;610151.4;0.9062;0.0157;Fideicomisos, fondos y entidades financieras similares
6431;2023;544;34517200.6;27501639.5;855343.3;0.7968;0.0248;Fideicomisos, fondos y entidades financieras similares
6431;2024;512;37738307.3;31520067.5;838317.6;0.8352;0.0222;Fideicomisos, fondos y entidades financieras similares
6432;2022;5;28141175.5;27922864.8;0;0.9922;0.0;Fondos de cesantías
6432;2023;6;28146223.7;27292399.1;266.3;0.9697;0.0;Fondos de cesantías
6432;2024;7;32240423.7;31650062.4;317.8;0.9817;0.0;Fondos de cesantías
6491;2022;13;1597.0;651.4;986.7;0.4079;0.6179;Leasing financiero (arrendamiento financiero)
6491;2023;22;1929.5;1654.8;467.9;0.8576;0.2425;Leasing financiero (arrendamiento financiero)
6491;2024;23;18304.0;12740.5;639.9;0.6961;0.035;Leasing financiero (arrendamiento financiero)
6492;2022;2645;4734330.3;4207923.0;349099.2;0.8888;0.0737;Actividades financieras de fondos de empleados y otras formas asociativas del sector solidario
6492;2023;2661;5875744.6;5171441.5;322210.9;0.8801;0.0548;Actividades financieras de fondos de empleados y otras formas asociativas del sector solidario
6492;2024;2679;6311985.6;5569744.5;422049.3;0.8824;0.0669;Actividades financieras de fondos de empleados y otras formas asociativas del sector solidario
6493;2022;518;1774489.7;1694930.1;214264.9;0.9552;0.1207;Actividades de compra de cartera o factoring
6493;2023;569;1963787.3;1876304.6;183738.7;0.9555;0.0936;Actividades de compra de cartera o factoring
6493;2024;579;1664769.5;1496911.7;188090.0;0.8992;0.113;Actividades de compra de cartera o factoring
6494;2022;1145;5662086.5;2991747.4;363847.0;0.5284;0.0643;Otras actividades de distribución de fondos
6494;2023;1183;8323392.8;6079045.2;377520.2;0.7304;0.0454;Otras actividades de distribución de fondos
6494;2024;1215;4720013.5;2468835.6;490521.7;0.5231;0.1039;Otras actividades de distribución de fondos
6495;2022;9;3086525.8;5175734.7;56376.1;1.6769;0.0183;Instituciones especiales oficiales
6495;2023;7;3791962.5;3628701.7;27548.0;0.9569;0.0073;Instituciones especiales oficiales
6495;2024;10;3522796.1;5916246.5;25892.0;1.6794;0.0073;Instituciones especiales oficiales
6496;2022;47;109431.6;259948.4;9533.3;2.3754;0.0871;Capitalización
6496;2023;48;32950.6;31956.4;6704.7;0.9698;0.2035;Capitalización
6496;2024;52;23057.2;16085.1;4844.4;0.6976;0.2101;Capitalización
6499;2022;2877;10738277.4;7798857.3;916811.7;0.7263;0.0854;Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.
6499;2023;3039;8727379.8;6791062.9;1115875.5;0.7781;0.1279;Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.
6499;2024;3126;9789759.9;6917781.6;1193656.1;0.7066;0.1219;Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.
6511;2022;947;51087794.5;42979051.2;1558446.9;0.8413;0.0305;Seguros generales
6511;2023;894;47851929.8;44874778.4;2124705.5;0.9378;0.0444;Seguros generales
6511;2024;890;54152459.6;49937756.6;2441742.6;0.9222;0.0451;Seguros generales
6512;2022;122;57731765.0;53150000.8;4445614.6;0.9206;0.077;Seguros de vida
6512;2023;130;63885607.9;58810390.4;4688701.9;0.9206;0.0734;Seguros de vida
6512;2024;134;68319092.2;62854627.4;5431520.7;0.92;0.0795;Seguros de vida
6513;2022;9;223.8;259.9;56.9;1.1614;0.2543;Reaseguros
6515;2022;7;10243226.3;10281997.9;8492.4;1.0038;0.0008;Seguros de salud
6521;2022;130;1608108.0;1812211.4;146674.3;1.1269;0.0912;Servicios de seguros sociales de salud
6521;2023;134;21586619.8;21795976.5;171907.9;1.0097;0.008;Servicios de seguros sociales de salud
6521;2024;130;23367688.4;23231959.6;196164.2;0.9942;0.0084;Servicios de seguros sociales de salud
6522;2022;142;1428870.2;1147993.6;279149.4;0.8034;0.1954;Servicios de seguros sociales de riesgos laborales
6522;2023;182;1758950.7;1534182.4;216152.9;0.8722;0.1229;Servicios de seguros sociales en riesgos laborales
6522;2024;186;2053026.2;1766826.4;274448.6;0.8606;0.1337;Servicios de seguros sociales en riesgos laborales
